ts_code_x	trade_date	open	high	low	close_x	pre_close	change	pct_chg	vol	amount	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv	open_close_chg
300895.SZ	20201028	60.3245	63.5607	59.0849	61.0649	60.1913	0.8736000000000033	1.4514	82837.32	610719.027	36.0168	36.0168	0.73	134.6504	125.0245	6.4768	27.1312	22.567			9697.015	2299.9654	2299.9654	711760.901	168817.4604	-0.05994605739139837
300895.SZ	20201029	57.4043	59.3178	56.2396	56.7221	61.0649	-4.342800000000004	-7.1118	72051.46	498515.543	31.3272	31.3272	0.7	125.0745	116.1331	6.0162	25.2017	20.9621			9697.015	2299.9654	2299.9654	661142.4827	156811.641	-0.009973185054855156
300895.SZ	20201030	56.1564	57.6955	53.9767	53.9767	56.7221	-2.7453999999999965	-4.8401	69147.04	462568.3270000001	30.0644	30.0644	0.7	119.0207	110.5121	5.725	23.9819	19.9475			9697.015	2299.9654	2299.9654	629142.3332	149221.7552	0.0018489459340789987
300895.SZ	20201102	54.0765	56.2646	53.4942	54.792	53.9767	0.8153000000000006	1.5105	54064.53	357140.17	23.5067	23.5067	0.62	120.8185	112.1814	5.8115	24.3442	20.2488			9697.015	2299.9654	2299.9654	638645.4079	151475.7212	0.0074408672798948455
300895.SZ	20201103	55.1997	58.4859	54.4093	56.5308	54.792	1.7387999999999977	3.1735	69765.81	475802.927	30.3334	30.3334	0.94	124.6525	115.7413	5.9959	25.1167	20.8914			9697.015	2299.9654	2299.9654	658912.1693	156282.6489	-0.002207646097348459
300895.SZ	20201104	56.40600000000001	57.3128	53.9185	54.1597	56.5308	-2.3710999999999984	-4.1944	54796.62	364134.064	23.825	23.825	0.79	119.4243	110.8868	5.7444	24.0633	20.0152			9697.015	2299.9654	2299.9654	631275.6765	149727.7475	0.013825778207781721
300895.SZ	20201105	54.9085	57.5624	54.6672	56.98	54.1597	2.820299999999996	5.2074	60980.29	411586.265	26.5136	26.5136	0.95	125.6432	116.6611	6.0436	25.3163	21.0574			9697.015	2299.9654	2299.9654	664148.5574	157524.6302	-0.007153387153387068
300895.SZ	20201106	56.5724	57.7038	53.2446	53.6772	56.98	-3.3027999999999977	-5.7964	57804.3	380520.196	25.1327	25.1327	0.94	118.3603	109.8989	5.6933	23.8489	19.8368			9697.015	2299.9654	2299.9654	625651.4078	148393.7676	0.002945384632581384
300895.SZ	20201109	53.8353	55.7404	53.8353	55.1747	53.6772	1.4975000000000025	2.7898	48007.42	316769.37	20.8731	20.8731	0.81	121.6623	112.9649	5.8521	24.5142	20.3903			9697.015	2299.9654	2299.9654	643106.0348	152533.7053	-0.0051273500354328694
300895.SZ	20201110	54.8918	54.9002	52.3295	52.604	55.1747	-2.570700000000002	-4.6592	50279.26	320429.195	21.8609	21.8609	0.86	115.9938	107.7016	5.5794	23.372	19.4402			9697.015	2299.9654	2299.9654	613142.2585	145426.8122	-0.008381491901756504
300895.SZ	20201111	52.1631	53.6606	51.772	52.5874	52.604	-0.0165999999999968	-0.0316	35007.66	222156.951	15.220999999999998	15.220999999999998	0.64	115.9571	107.6675	5.5777	23.3646	19.4341			9697.015	2299.9654	2299.9654	612948.3182	145380.8129	0.0018977930074503546
300895.SZ	20201112	52.6872	52.9534	49.8253	50.0832	52.5874	-2.5042000000000044	-4.762	38227.14	232637.963	16.6207	16.6207	0.76	110.4354	102.5405	5.3121	22.252	18.5087			9697.015	2299.9654	2299.9654	583760.303	138457.9171	-0.002326129320810071
300895.SZ	20201113	49.9667	51.1564	49.9667	50.6073	50.0832	0.5241000000000042	1.0465	24721.54	150354.105	10.7487	10.7487	0.54	111.5911	103.6136	5.3677	22.4849	18.7023			9697.015	2299.9654	2299.9654	589869.4225	139906.8953	-0.0021360554702582494
300895.SZ	20201116	50.4992	52.3211	50.0083	51.8303	50.6073	1.222999999999999	2.4166	31821.6	196585.022	13.8357	13.8357	0.81	114.2878	106.1175	5.4974	23.0283	19.1543			9697.015	2299.9654	2299.9654	604124.0345	143287.8444	-0.006581092526958254
300895.SZ	20201117	51.4892	53.0782	50.9318	52.6872	51.8303	0.856899999999996	1.6533	41194.36	258761.896	17.9109	17.9109	1.14	116.1773	107.8719	5.5883	23.409	19.471			9697.015	2299.9654	2299.9654	614111.96	145656.8088	-0.014684781123308852
300895.SZ	20201118	51.9135	52.3794	50.5075	51.1231	52.6872	-1.5640999999999965	-2.9687	30590.91	189275.894	13.3006	13.3006	0.89	112.7285	104.6697	5.4224	22.7141	18.893			9697.015	2299.9654	2299.9654	595881.5718	141332.8738	-0.007321543490124778
300895.SZ	20201119	50.7488	51.9135	49.426	51.6306	51.1231	0.5075000000000003	0.9927	30784.22	187486.927	13.3846	13.3846	0.92	113.8475	105.7087	5.4762	22.9396	19.0805			9697.015	2299.9654	2299.9654	601796.7509	142735.8527	-0.0009664811177867572
300895.SZ	20201120	51.5807	51.5807	49.7338	49.9418	51.6306	-1.6888000000000003	-3.2709	27935.09	168877.6	12.1459	12.1459	0.88	110.1235	102.2509	5.2971	22.1892	18.4564			9697.015	2299.9654	2299.9654	582111.8105	138066.923	-0.009162665342458609
300895.SZ	20201123	49.4842	50.1414	48.1697	50.0666	49.9418	0.1248000000000004	0.2499	29513.56	174289.71	12.8322	12.8322	0.91	110.3987	102.5064	5.3103	22.2447	18.5025			9697.015	2299.9654	2299.9654	583566.3627	138411.9178	-0.011133170616738528
300895.SZ	20201124	49.5092	51.1647	49.5008	49.817	50.0666	-0.2496000000000009	-0.4985	26380.54	159458.235	11.47	11.47	0.82	109.8483	101.9954	5.2838	22.1338	18.4103			9697.015	2299.9654	2299.9654	580657.2582	137721.9282	-0.0010016660979184002
300895.SZ	20201125	49.7671	52.1464	49.0849	51.4725	49.817	1.6554999999999964	3.3232	46550.46	285704.221	20.2396	20.2396	1.6	113.4989	105.3851	5.4594	22.8693	19.0221			9697.015	2299.9654	2299.9654	599954.3181	142298.8593	-0.008241293894798175
300895.SZ	20201126	51.0483	51.381	50.2163	50.3411	51.4725	-1.1313999999999993	-2.1981	26635.87	162362.57	11.581	11.581	0.83	111.004	103.0685	5.3394	22.3666	18.604			9697.015	2299.9654	2299.9654	586766.3777	139170.9064	-0.002149337221475028
300895.SZ	20201127	50.2329	50.7238	48.1864	48.4193	50.3411	-1.9217999999999973	-3.8176	28578.7	168542.513	12.4257	12.4257	0.91	106.7664	99.1339	5.1356	21.5128	17.8937			9697.015	2299.9654	2299.9654	564366.2729999999	133857.9863	-0.002406065349974123
300895.SZ	20201130	48.3028	49.3178	47.42100000000001	48.7271	48.4193	0.3078000000000003	0.6357	20474.94	119414.765	8.9023	8.9023	0.65	107.4452	99.7641	5.1682	21.6495	18.0075			9697.015	2299.9654	2299.9654	567954.1686	134708.9735	-0.0011944072189808005
300895.SZ	20201201	48.6689	50.0832	48.1864	49.1681	48.7271	0.4410000000000025	0.905	23950.18	142233.165	10.4133	10.4133	0.81	108.4174	100.6669	5.215	21.8454	18.1705			9697.015	2299.9654	2299.9654	573093.5865	135927.9551	-0.003215499480354225
300895.SZ	20201202	49.01	50.0	48.3361	49.7837	49.1681	0.6156000000000006	1.252	24730.54	146871.21	10.7526	10.7526	0.85	109.775	101.9273	5.2803	22.119	18.398			9697.015	2299.9654	2299.9654	580269.3776	137629.9295	-0.006518197723351226
300895.SZ	20201203	49.4592	51.9967	48.5025	50.2413	49.7837	0.4575999999999994	0.9192	40140.29	243695.861	17.4526	17.4526	1.61	110.7839	102.8641	5.3288	22.3223	18.5671			9697.015	2299.9654	2299.9654	585602.7359	138894.9105	0.008445243256046226
300895.SZ	20201204	50.6656	54.4925	50.4742	52.8369	50.2413	2.595599999999997	5.1663	66089.87	421248.494	28.7352	28.7352	2.4	116.5075	108.1785	5.6041	23.4755	19.5263			9697.015	2299.9654	2299.9654	615857.4227	146070.8026	-0.01574467843495734
300895.SZ	20201207	52.005	53.4942	51.6223	52.3295	52.8369	-0.507399999999997	-0.9603	38543.49	243148.248	16.7583	16.7583	1.1	115.3884	107.1395	5.5503	23.2501	19.3388			9697.015	2299.9654	2299.9654	609942.2435	144667.8237	-0.010812256948757449
300895.SZ	20201208	51.7637	52.6705	49.6506	49.7421	52.3295	-2.5874000000000024	-4.9444	40404.13	245416.374	17.5673	17.5673	1.04	109.6832	101.8421	5.2759	22.1005	18.3826			9697.015	2299.9654	2299.9654	579784.5269	137514.9313	-0.0021752197836441087
300895.SZ	20201209	49.6339	49.6339	47.5291	47.812	49.7421	-1.930100000000004	-3.8802	31250.12	181848.236	13.5872	13.5872	0.74	105.4272	97.8904	5.0712	21.2429	17.6693			9697.015	2299.9654	2299.9654	557287.4521	132179.0115	-0.01113737137120386
300895.SZ	20201210	47.2795	48.2612	46.589	46.797	47.812	-1.0150000000000006	-2.1229	23555.07	133694.652	10.2415	10.2415	0.54	103.1892	95.8124	4.9635	20.792	17.2942			9697.015	2299.9654	2299.9654	545457.0938	129373.0538	-0.0026668376177960227
300895.SZ	20201211	46.6722	48.2529	46.6057	47.5042	46.797	0.7072000000000003	1.5112	23270.82	132438.169	10.1179	10.1179	0.58	104.7485	97.2602	5.0385	21.1062	17.5555			9697.015	2299.9654	2299.9654	553699.5565	131328.0243	-0.005605820116957953
300895.SZ	20201214	47.2379	47.2546	46.0899	47.1381	47.5042	-0.3660999999999959	-0.7707	19219.35	107658.061	8.3564	8.3564	0.61	103.9413	96.5107	4.9997	20.9435	17.4203			9697.015	2299.9654	2299.9654	549432.8699	130316.0396	0.0015889482181080596
300895.SZ	20201215	47.213	49.1597	46.8802	47.7537	47.1381	0.6156000000000006	1.3059	23344.58	135054.686	10.15	10.15	0.85	105.2988	97.7712	5.065	21.2171	17.6478			9697.015	2299.9654	2299.9654	556608.661	132018.014	-0.010451546162915094
300895.SZ	20201216	47.2546	47.5874	44.6423	44.6839	47.7537	-3.0698000000000008	-6.4284	28954.95	158715.176	12.5893	12.5893	1.2	98.5296	91.4859	4.7394	19.8531	16.5133			9697.015	2299.9654	2299.9654	520826.6757	123531.1416	-0.01024082499513246
300895.SZ	20201217	44.2263	45.4659	44.1764	45.1664	44.6839	0.4825000000000017	1.0798	17865.66	96498.788	7.7678	7.7678	0.75	99.5936	92.4738	4.7906	20.0675	16.6916			9697.015	2299.9654	2299.9654	526450.9444	124865.1216	-0.005342466966594692
300895.SZ	20201218	44.9251	45.4077	43.7022	43.9434	45.1664	-1.223000000000006	-2.7078	17721.42	94767.099	7.7051	7.7051	0.79	96.8969	89.9699	4.6609	19.5241	16.2397			9697.015	2299.9654	2299.9654	512196.3323	121484.1724	-0.006435551186298617
300895.SZ	20201221	43.6606	44.4925	43.5607	44.2679	43.9434	0.3245000000000004	0.7384	14561.21	77303.52	6.3311	6.3311	0.68	97.6124	90.6342	4.6953	19.6683	16.3596			9697.015	2299.9654	2299.9654	515978.1682	122381.1589	0.0003749895522490099
